GeoName,Description,Unit, Year 
Alabama,Per capita personal income (dollars),Dollars," 40,467 "
"Autauga, AL",Per capita personal income (dollars),Dollars," 40,450 "
"Baldwin, AL",Per capita personal income (dollars),Dollars," 43,989 "
"Barbour, AL",Per capita personal income (dollars),Dollars," 33,048 "
"Bibb, AL",Per capita personal income (dollars),Dollars," 29,081 "
"Blount, AL",Per capita personal income (dollars),Dollars," 33,533 "
"Bullock, AL",Per capita personal income (dollars),Dollars," 27,442 "
"Butler, AL",Per capita personal income (dollars),Dollars," 34,733 "
"Calhoun, AL",Per capita personal income (dollars),Dollars," 35,721 "
"Chambers, AL",Per capita personal income (dollars),Dollars," 32,583 "
"Cherokee, AL",Per capita personal income (dollars),Dollars," 33,852 "
"Chilton, AL",Per capita personal income (dollars),Dollars," 33,416 "
"Choctaw, AL",Per capita personal income (dollars),Dollars," 36,603 "
"Clarke, AL",Per capita personal income (dollars),Dollars," 34,777 "
"Clay, AL",Per capita personal income (dollars),Dollars," 32,017 "
"Cleburne, AL",Per capita personal income (dollars),Dollars," 34,862 "
"Coffee, AL",Per capita personal income (dollars),Dollars," 41,268 "
"Colbert, AL",Per capita personal income (dollars),Dollars," 37,073 "
"Conecuh, AL",Per capita personal income (dollars),Dollars," 31,267 "
"Coosa, AL",Per capita personal income (dollars),Dollars," 29,926 "
"Covington, AL",Per capita personal income (dollars),Dollars," 34,393 "
"Crenshaw, AL",Per capita personal income (dollars),Dollars," 35,823 "
"Cullman, AL",Per capita personal income (dollars),Dollars," 38,158 "
"Dale, AL",Per capita personal income (dollars),Dollars," 35,200 "
"Dallas, AL",Per capita personal income (dollars),Dollars," 34,282 "
"DeKalb, AL",Per capita personal income (dollars),Dollars," 30,682 "
"Elmore, AL",Per capita personal income (dollars),Dollars," 40,966 "
"Escambia, AL",Per capita personal income (dollars),Dollars," 31,641 "
"Etowah, AL",Per capita personal income (dollars),Dollars," 35,542 "
"Fayette, AL",Per capita personal income (dollars),Dollars," 33,492 "
"Franklin, AL",Per capita personal income (dollars),Dollars," 32,422 "
"Geneva, AL",Per capita personal income (dollars),Dollars," 33,736 "
"Greene, AL",Per capita personal income (dollars),Dollars," 31,388 "
"Hale, AL",Per capita personal income (dollars),Dollars," 35,559 "
"Henry, AL",Per capita personal income (dollars),Dollars," 38,790 "
"Houston, AL",Per capita personal income (dollars),Dollars," 40,642 "
"Jackson, AL",Per capita personal income (dollars),Dollars," 35,099 "
"Jefferson, AL",Per capita personal income (dollars),Dollars," 52,128 "
"Lamar, AL",Per capita personal income (dollars),Dollars," 32,230 "
"Lauderdale, AL",Per capita personal income (dollars),Dollars," 35,573 "
"Lawrence, AL",Per capita personal income (dollars),Dollars," 32,596 "
"Lee, AL",Per capita personal income (dollars),Dollars," 36,437 "
"Limestone, AL",Per capita personal income (dollars),Dollars," 40,845 "
"Lowndes, AL",Per capita personal income (dollars),Dollars," 39,011 "
"Macon, AL",Per capita personal income (dollars),Dollars," 31,372 "
"Madison, AL",Per capita personal income (dollars),Dollars," 49,158 "
"Marengo, AL",Per capita personal income (dollars),Dollars," 37,447 "
"Marion, AL",Per capita personal income (dollars),Dollars," 31,807 "
"Marshall, AL",Per capita personal income (dollars),Dollars," 34,579 "
"Mobile, AL",Per capita personal income (dollars),Dollars," 36,777 "
"Monroe, AL",Per capita personal income (dollars),Dollars," 31,720 "
"Montgomery, AL",Per capita personal income (dollars),Dollars," 42,211 "
"Morgan, AL",Per capita personal income (dollars),Dollars," 38,289 "
"Perry, AL",Per capita personal income (dollars),Dollars," 30,173 "
"Pickens, AL",Per capita personal income (dollars),Dollars," 31,233 "
"Pike, AL",Per capita personal income (dollars),Dollars," 36,140 "
"Randolph, AL",Per capita personal income (dollars),Dollars," 31,242 "
"Russell, AL",Per capita personal income (dollars),Dollars," 32,384 "
"St. Clair, AL",Per capita personal income (dollars),Dollars," 36,993 "
"Shelby, AL",Per capita personal income (dollars),Dollars," 51,852 "
"Sumter, AL",Per capita personal income (dollars),Dollars," 31,452 "
"Talladega, AL",Per capita personal income (dollars),Dollars," 33,282 "
"Tallapoosa, AL",Per capita personal income (dollars),Dollars," 38,829 "
"Tuscaloosa, AL",Per capita personal income (dollars),Dollars," 37,157 "
"Walker, AL",Per capita personal income (dollars),Dollars," 38,482 "
"Washington, AL",Per capita personal income (dollars),Dollars," 34,882 "
"Wilcox, AL",Per capita personal income (dollars),Dollars," 30,929 "
"Winston, AL",Per capita personal income (dollars),Dollars," 33,679 "
Alaska,Per capita personal income (dollars),Dollars," 56,794 "
"Aleutian Islands Census Area, AK*",Per capita personal income (dollars),Dollars, (NA) 
"Aleutians East Borough, AK*",Per capita personal income (dollars),Dollars," 58,210 "
"Aleutians West Census Area, AK*",Per capita personal income (dollars),Dollars," 52,695 "
"Anchorage Municipality, AK",Per capita personal income (dollars),Dollars," 63,173 "
"Bethel Census Area, AK*",Per capita personal income (dollars),Dollars," 42,134 "
"Bristol Bay Borough, AK",Per capita personal income (dollars),Dollars," 125,895 "
"Denali Borough, AK*",Per capita personal income (dollars),Dollars," 78,685 "
"Dillingham Census Area, AK*",Per capita personal income (dollars),Dollars," 58,042 "
"Fairbanks North Star Borough, AK",Per capita personal income (dollars),Dollars," 53,974 "
"Haines Borough, AK",Per capita personal income (dollars),Dollars," 62,478 "
"Hoonah-Angoon Census Area, AK*",Per capita personal income (dollars),Dollars," 59,277 "
"Juneau City and Borough, AK",Per capita personal income (dollars),Dollars," 65,784 "
"Kenai Peninsula Borough, AK",Per capita personal income (dollars),Dollars," 49,697 "
"Ketchikan Gateway Borough, AK*",Per capita personal income (dollars),Dollars," 65,179 "
"Kodiak Island Borough, AK",Per capita personal income (dollars),Dollars," 61,157 "
"Kusilvak Census Area, AK*",Per capita personal income (dollars),Dollars," 29,838 "
"Lake and Peninsula Borough, AK*",Per capita personal income (dollars),Dollars," 61,219 "
"Matanuska-Susitna Borough, AK",Per capita personal income (dollars),Dollars," 44,043 "
"Nome Census Area, AK*",Per capita personal income (dollars),Dollars," 49,518 "
"North Slope Borough, AK",Per capita personal income (dollars),Dollars," 84,340 "
"Northwest Arctic Borough, AK",Per capita personal income (dollars),Dollars," 44,861 "
"Petersburg Borough, AK*",Per capita personal income (dollars),Dollars," 66,703 "
"Prince of Wales-Hyder Census Area, AK*",Per capita personal income (dollars),Dollars," 41,456 "
"Prince of Wales-Outer Ketchikan Census Area, AK*",Per capita personal income (dollars),Dollars, (NA) 
"Sitka City and Borough, AK",Per capita personal income (dollars),Dollars," 67,771 "
"Skagway Municipality, AK*",Per capita personal income (dollars),Dollars," 76,785 "
"Skagway-Yakutat-Angoon Census Area, AK*",Per capita personal income (dollars),Dollars, (NA) 
