GeoName,State,Description,Unit, Year 
Issaquena,MS,Per capita personal income (dollars),Dollars,"10,996"
Concho,TX,Per capita personal income (dollars),Dollars,"18,998"
Wheeler,GA,Per capita personal income (dollars),Dollars,"19,010"
Crowley,CO,Per capita personal income (dollars),Dollars,"19,263"
Ziebach,SD,Per capita personal income (dollars),Dollars,"19,879"
Telfair,GA,Per capita personal income (dollars),Dollars,"20,338"
Union,FL,Per capita personal income (dollars),Dollars,"20,756"
Forest,PA,Per capita personal income (dollars),Dollars,"21,458"
Stewart,GA,Per capita personal income (dollars),Dollars,"21,665"
Elliott,KY,Per capita personal income (dollars),Dollars,"21,934"
Lake,TN,Per capita personal income (dollars),Dollars,"22,576"
Buffalo,SD,Per capita personal income (dollars),Dollars,"22,737"
Liberty,FL,Per capita personal income (dollars),Dollars,"23,087"
Glades,FL,Per capita personal income (dollars),Dollars,"23,510"
DeSoto,FL,Per capita personal income (dollars),Dollars,"23,869"
Oglala Lakota,SD,Per capita personal income (dollars),Dollars,"23,987"
Lafayette,FL,Per capita personal income (dollars),Dollars,"24,232"
Todd,SD,Per capita personal income (dollars),Dollars,"24,450"
Charlton,GA,Per capita personal income (dollars),Dollars,"24,489"
Calhoun,GA,Per capita personal income (dollars),Dollars,"24,763"
Johnson,GA,Per capita personal income (dollars),Dollars,"24,822"
Madison,ID,Per capita personal income (dollars),Dollars,"24,881"
McCreary,KY,Per capita personal income (dollars),Dollars,"25,026"
Hamilton,FL,Per capita personal income (dollars),Dollars,"25,063"
Jackson,SD,Per capita personal income (dollars),Dollars,"25,153"
Bledsoe,TN,Per capita personal income (dollars),Dollars,"25,154"
Quitman,MS,Per capita personal income (dollars),Dollars,"25,162"
San Juan,UT,Per capita personal income (dollars),Dollars,"25,344"
Starr,TX,Per capita personal income (dollars),Dollars,"25,447"
Hidalgo,TX,Per capita personal income (dollars),Dollars,"25,451"
Hancock,TN,Per capita personal income (dollars),Dollars,"25,777"
Noble,OH,Per capita personal income (dollars),Dollars,"25,881"
Calhoun,FL,Per capita personal income (dollars),Dollars,"25,901"
Lincoln,AR,Per capita personal income (dollars),Dollars,"25,919"
Wilcox,GA,Per capita personal income (dollars),Dollars,"26,014"
Long,GA,Per capita personal income (dollars),Dollars,"26,268"
Lanier,GA,Per capita personal income (dollars),Dollars,"26,281"
Yazoo,MS,Per capita personal income (dollars),Dollars,"26,303"
Brantley,GA,Per capita personal income (dollars),Dollars,"26,353"
Bent,CO,Per capita personal income (dollars),Dollars,"26,363"
Morgan,KY,Per capita personal income (dollars),Dollars,"26,379"
Lee,AR,Per capita personal income (dollars),Dollars,"26,474"
McKinley,NM,Per capita personal income (dollars),Dollars,"26,636"
Lincoln,CO,Per capita personal income (dollars),Dollars,"26,641"
Corson,SD,Per capita personal income (dollars),Dollars,"26,699"
Zapata,TX,Per capita personal income (dollars),Dollars,"26,723"
Doddridge,WV,Per capita personal income (dollars),Dollars,"26,739"
Greer,OK,Per capita personal income (dollars),Dollars,"26,804"
Dixie,FL,Per capita personal income (dollars),Dollars,"26,862"
Walker,TX,Per capita personal income (dollars),Dollars,"26,880"
Hall,TX,Per capita personal income (dollars),Dollars,"26,903"
Hickory,MO,Per capita personal income (dollars),Dollars,"26,925"
Webster,WV,Per capita personal income (dollars),Dollars,"27,011"
Dillon,SC,Per capita personal income (dollars),Dollars,"27,035"
Clayton,GA,Per capita personal income (dollars),Dollars,"27,058"
Frio,TX,Per capita personal income (dollars),Dollars,"27,076"
Texas,MO,Per capita personal income (dollars),Dollars,"27,080"
Douglas,MO,Per capita personal income (dollars),Dollars,"27,092"
Cibola,NM,Per capita personal income (dollars),Dollars,"27,098"
Searcy,AR,Per capita personal income (dollars),Dollars,"27,109"
Zavala,TX,Per capita personal income (dollars),Dollars,"27,144"
Tallahatchie,MS,Per capita personal income (dollars),Dollars,"27,157"
Echols,GA,Per capita personal income (dollars),Dollars,"27,281"
Holmes,MS,Per capita personal income (dollars),Dollars,"27,367"
Cameron,TX,Per capita personal income (dollars),Dollars,"27,427"
Bullock,AL,Per capita personal income (dollars),Dollars,"27,442"
Wayne,TN,Per capita personal income (dollars),Dollars,"27,448"
St. Francis,AR,Per capita personal income (dollars),Dollars,"27,464"
Wayne,KY,Per capita personal income (dollars),Dollars,"27,485"
Bee,TX,Per capita personal income (dollars),Dollars,"27,543"
McDonald,MO,Per capita personal income (dollars),Dollars,"27,565"
Dooly,GA,Per capita personal income (dollars),Dollars,"27,631"
Newton,AR,Per capita personal income (dollars),Dollars,"27,645"
DeKalb,MO,Per capita personal income (dollars),Dollars,"27,762"
Tattnall,GA,Per capita personal income (dollars),Dollars,"27,812"
Sanpete,UT,Per capita personal income (dollars),Dollars,"27,821"
Mellette,SD,Per capita personal income (dollars),Dollars,"27,828"
Jackson,KY,Per capita personal income (dollars),Dollars,"27,836"
Garza,TX,Per capita personal income (dollars),Dollars,"27,844"
Sioux,ND,Per capita personal income (dollars),Dollars,"27,871"
Fulton,AR,Per capita personal income (dollars),Dollars,"27,907"
Lauderdale,TN,Per capita personal income (dollars),Dollars,"27,910"
Jasper,SC,Per capita personal income (dollars),Dollars,"27,920"
Schuyler,MO,Per capita personal income (dollars),Dollars,"27,926"
Greene,MS,Per capita personal income (dollars),Dollars,"27,973"
Gilmer,WV,Per capita personal income (dollars),Dollars,"27,975"
Jenkins,GA,Per capita personal income (dollars),Dollars,"28,005"
Scott,TN,Per capita personal income (dollars),Dollars,"28,106"
Big Horn,MT,Per capita personal income (dollars),Dollars,"28,131"
Adair,OK,Per capita personal income (dollars),Dollars,"28,197"
Oregon,MO,Per capita personal income (dollars),Dollars,"28,216"
Hancock,GA,Per capita personal income (dollars),Dollars,"28,261"
Robeson,NC,Per capita personal income (dollars),Dollars,"28,270"
Hardeman,TN,Per capita personal income (dollars),Dollars,"28,288"
Washington,FL,Per capita personal income (dollars),Dollars,"28,309"
Marion,GA,Per capita personal income (dollars),Dollars,"28,317"
Calhoun,WV,Per capita personal income (dollars),Dollars,"28,331"
Morgan,TN,Per capita personal income (dollars),Dollars,"28,339"
Shannon,MO,Per capita personal income (dollars),Dollars,"28,352"
McIntosh,GA,Per capita personal income (dollars),Dollars,"28,377"
Washington,MO,Per capita personal income (dollars),Dollars,"28,414"
Motley,TX,Per capita personal income (dollars),Dollars,"28,478"
Wilkinson,MS,Per capita personal income (dollars),Dollars,"28,516"
Montgomery,GA,Per capita personal income (dollars),Dollars,"28,562"
Kemper,MS,Per capita personal income (dollars),Dollars,"28,571"
Maverick,TX,Per capita personal income (dollars),Dollars,"28,590"
Bell,KY,Per capita personal income (dollars),Dollars,"28,620"
Okfuskee,OK,Per capita personal income (dollars),Dollars,"28,627"
Lawrence,IL,Per capita personal income (dollars),Dollars,"28,640"
Johnson,AR,Per capita personal income (dollars),Dollars,"28,649"
Bennett,SD,Per capita personal income (dollars),Dollars,"28,660"
Jeff Davis,GA,Per capita personal income (dollars),Dollars,"28,671"
Knox,KY,Per capita personal income (dollars),Dollars,"28,678"
Quitman,GA,Per capita personal income (dollars),Dollars,"28,699"
Atkinson,GA,Per capita personal income (dollars),Dollars,"28,764"
Lincoln,WV,Per capita personal income (dollars),Dollars,"28,802"
Wyoming,WV,Per capita personal income (dollars),Dollars,"28,818"
Hardee,FL,Per capita personal income (dollars),Dollars,"28,844"
Saguache,CO,Per capita personal income (dollars),Dollars,"28,846"
Trousdale,TN,Per capita personal income (dollars),Dollars,"28,849"
Childress,TX,Per capita personal income (dollars),Dollars,"28,853"
Taylor,FL,Per capita personal income (dollars),Dollars,"28,878"
Kinney,TX,Per capita personal income (dollars),Dollars,"28,883"
Martin,KY,Per capita personal income (dollars),Dollars,"28,906"
Sunflower,MS,Per capita personal income (dollars),Dollars,"28,926"
Murray,GA,Per capita personal income (dollars),Dollars,"28,986"
St. Clair,MO,Per capita personal income (dollars),Dollars,"29,011"
Switzerland,IN,Per capita personal income (dollars),Dollars,"29,016"
Ozark,MO,Per capita personal income (dollars),Dollars,"29,019"
Pulaski,GA,Per capita personal income (dollars),Dollars,"29,034"
Wayne,MO,Per capita personal income (dollars),Dollars,"29,061"
Menominee,WI,Per capita personal income (dollars),Dollars,"29,065"
Torrance,NM,Per capita personal income (dollars),Dollars,"29,072"
Bibb,AL,Per capita personal income (dollars),Dollars,"29,081"
Knott,KY,Per capita personal income (dollars),Dollars,"29,082"
Lee,VA,Per capita personal income (dollars),Dollars,"29,135"
Benton,MS,Per capita personal income (dollars),Dollars,"29,198"
Treutlen,GA,Per capita personal income (dollars),Dollars,"29,216"
Taylor,GA,Per capita personal income (dollars),Dollars,"29,253"
Clay,WV,Per capita personal income (dollars),Dollars,"29,274"
Polk,AR,Per capita personal income (dollars),Dollars,"29,313"
Blaine,MT,Per capita personal income (dollars),Dollars,"29,329"
Pope,IL,Per capita personal income (dollars),Dollars,"29,341"
Warren,NC,Per capita personal income (dollars),Dollars,"29,360"
McDowell,WV,Per capita personal income (dollars),Dollars,"29,370"
Izard,AR,Per capita personal income (dollars),Dollars,"29,374"
Letcher,KY,Per capita personal income (dollars),Dollars,"29,386"
Madison,TX,Per capita personal income (dollars),Dollars,"29,391"
Monroe,WV,Per capita personal income (dollars),Dollars,"29,430"
Buckingham,VA,Per capita personal income (dollars),Dollars,"29,450"
Magoffin,KY,Per capita personal income (dollars),Dollars,"29,452"
Malheur,OR,Per capita personal income (dollars),Dollars,"29,463"
Chesterfield,SC,Per capita personal income (dollars),Dollars,"29,480"
Stone,AR,Per capita personal income (dollars),Dollars,"29,491"
Clay,GA,Per capita personal income (dollars),Dollars,"29,492"
Willacy,TX,Per capita personal income (dollars),Dollars,"29,508"
Marion,AR,Per capita personal income (dollars),Dollars,"29,517"
Jefferson Davis,MS,Per capita personal income (dollars),Dollars,"29,568"
Mississippi,AR,Per capita personal income (dollars),Dollars,"29,581"
Pinal,AZ,Per capita personal income (dollars),Dollars,"29,587"
Holmes,FL,Per capita personal income (dollars),Dollars,"29,598"
Jones,TX,Per capita personal income (dollars),Dollars,"29,605"
Harlan,KY,Per capita personal income (dollars),Dollars,"29,626"
Hot Spring,AR,Per capita personal income (dollars),Dollars,"29,686"
Dodge,GA,Per capita personal income (dollars),Dollars,"29,702"
Tyrrell,NC,Per capita personal income (dollars),Dollars,"29,728"
Menifee,KY,Per capita personal income (dollars),Dollars,"29,734"
La Paz,AZ,Per capita personal income (dollars),Dollars,"29,750"
Jim Hogg,TX,Per capita personal income (dollars),Dollars,"29,753"
Montgomery,AR,Per capita personal income (dollars),Dollars,"29,778"
Prentiss,MS,Per capita personal income (dollars),Dollars,"29,794"
Clay,KY,Per capita personal income (dollars),Dollars,"29,799"
Rowan,KY,Per capita personal income (dollars),Dollars,"29,803"
Chattooga,GA,Per capita personal income (dollars),Dollars,"29,836"
Kusilvak Census Area,AK,Per capita personal income (dollars),Dollars,"29,838"
Grundy,TN,Per capita personal income (dollars),Dollars,"29,839"
Nodaway,MO,Per capita personal income (dollars),Dollars,"29,854"
Marlboro,SC,Per capita personal income (dollars),Dollars,"29,857"
Ben Hill,GA,Per capita personal income (dollars),Dollars,"29,877"
Luna,NM,Per capita personal income (dollars),Dollars,"29,887"
Hoke,NC,Per capita personal income (dollars),Dollars,"29,898"
Coosa,AL,Per capita personal income (dollars),Dollars,"29,926"
Humphreys,MS,Per capita personal income (dollars),Dollars,"29,932"
Jackson,TN,Per capita personal income (dollars),Dollars,"29,939"
Braxton,WV,Per capita personal income (dollars),Dollars,"29,945"
Schley,GA,Per capita personal income (dollars),Dollars,"29,949"
Pike,MS,Per capita personal income (dollars),Dollars,"29,966"
Bath,KY,Per capita personal income (dollars),Dollars,"29,974"
Carter,KY,Per capita personal income (dollars),Dollars,"30,012"
Candler,GA,Per capita personal income (dollars),Dollars,"30,023"
Ripley,MO,Per capita personal income (dollars),Dollars,"30,026"
Lewis,KY,Per capita personal income (dollars),Dollars,"30,030"
Van Buren,AR,Per capita personal income (dollars),Dollars,"30,051"
Heard,GA,Per capita personal income (dollars),Dollars,"30,076"
Lake,MI,Per capita personal income (dollars),Dollars,"30,077"
Sussex,VA,Per capita personal income (dollars),Dollars,"30,082"
Marion,SC,Per capita personal income (dollars),Dollars,"30,135"
Uintah,UT,Per capita personal income (dollars),Dollars,"30,135"
Wirt,WV,Per capita personal income (dollars),Dollars,"30,138"
Adair,KY,Per capita personal income (dollars),Dollars,"30,140"
Phillips,AR,Per capita personal income (dollars),Dollars,"30,148"
Webb,TX,Per capita personal income (dollars),Dollars,"30,153"
Wayne,GA,Per capita personal income (dollars),Dollars,"30,164"
Perry,AL,Per capita personal income (dollars),Dollars,"30,173"
Berrien,GA,Per capita personal income (dollars),Dollars,"30,179"
Sevier,AR,Per capita personal income (dollars),Dollars,"30,197"
Van Buren,TN,Per capita personal income (dollars),Dollars,"30,207"
Graham,AZ,Per capita personal income (dollars),Dollars,"30,233"
Macon,GA,Per capita personal income (dollars),Dollars,"30,237"
Sharkey,MS,Per capita personal income (dollars),Dollars,"30,238"
Luce,MI,Per capita personal income (dollars),Dollars,"30,252"
Clinton,KY,Per capita personal income (dollars),Dollars,"30,274"
LaSalle,LA,Per capita personal income (dollars),Dollars,"30,283"
Leake,MS,Per capita personal income (dollars),Dollars,"30,286"
Lawrence,KY,Per capita personal income (dollars),Dollars,"30,289"
Scott,AR,Per capita personal income (dollars),Dollars,"30,330"
Hughes,OK,Per capita personal income (dollars),Dollars,"30,335"
Haywood,TN,Per capita personal income (dollars),Dollars,"30,348"
Claiborne,MS,Per capita personal income (dollars),Dollars,"30,364"
Casey,KY,Per capita personal income (dollars),Dollars,"30,367"
Barbour,WV,Per capita personal income (dollars),Dollars,"30,382"
Delaware,OK,Per capita personal income (dollars),Dollars,"30,427"
Mingo,WV,Per capita personal income (dollars),Dollars,"30,457"
Wolfe,KY,Per capita personal income (dollars),Dollars,"30,461"
Clay,TN,Per capita personal income (dollars),Dollars,"30,471"
Madison,FL,Per capita personal income (dollars),Dollars,"30,499"
Union,TN,Per capita personal income (dollars),Dollars,"30,516"
Choctaw,OK,Per capita personal income (dollars),Dollars,"30,521"
Stone,MS,Per capita personal income (dollars),Dollars,"30,560"
Okeechobee,FL,Per capita personal income (dollars),Dollars,"30,568"
Rockcastle,KY,Per capita personal income (dollars),Dollars,"30,574"
Emery,UT,Per capita personal income (dollars),Dollars,"30,630"
Cocke,TN,Per capita personal income (dollars),Dollars,"30,637"
Metcalfe,KY,Per capita personal income (dollars),Dollars,"30,660"
Perry,MS,Per capita personal income (dollars),Dollars,"30,674"
DeKalb,AL,Per capita personal income (dollars),Dollars,"30,682"
Hendry,FL,Per capita personal income (dollars),Dollars,"30,693"
Cedar,MO,Per capita personal income (dollars),Dollars,"30,695"
Catron,NM,Per capita personal income (dollars),Dollars,"30,739"
Irwin,GA,Per capita personal income (dollars),Dollars,"30,745"
Crosby,TX,Per capita personal income (dollars),Dollars,"30,754"
Lincoln,KY,Per capita personal income (dollars),Dollars,"30,755"
