"CAINC1 Personal Income Summary: Personal Income, Population, Per Capita Personal Income"
"" 
"Bureau of Economic Analysis" 
"County"
"GeoFips","GeoName","LineCode","Description","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018"
"36000","New York","2","Population (persons) 1/",19001780,19082838,19137800,19175939,19171567,19132610,19104631,19132335,19212436,19307066,19400080,19498514,19574549,19628043,19656330,19661411,19641589,19590719,19542209
"36000","New York","3","Per capita personal income (dollars) 2/",36028,37194,37008,37459,39185,40905,44179,47520,48328,47277,48972,51498,53982,54491,56743,59141,61226,65644,68668
"36001","Albany, NY","2","Population (persons) 1/",295106,296232,298283,301085,302173,302791,303997,303858,303739,304733,304078,304564,305717,306613,307190,307476,307628,307717,307117
"36001","Albany, NY","3","Per capita personal income (dollars) 2/",35841,35673,35259,36353,37386,38186,39764,41260,43673,44279,46560,48422,50191,50815,53791,55674,55698,59429,61201
"36003","Allegany, NY","2","Population (persons) 1/",49819,50079,50014,50165,50311,49768,49359,49079,49177,48969,48962,48787,48201,47892,47646,47324,47039,46688,46430
"36003","Allegany, NY","3","Per capita personal income (dollars) 2/",19910,20194,20647,21271,22355,23148,24015,25027,27537,27406,28211,28947,30011,30003,31518,32368,32496,34137,34880
"36005","Bronx, NY","2","Population (persons) 1/",1334319,1346555,1358739,1362373,1358963,1351736,1348164,1354056,1363488,1376261,1387353,1397366,1411715,1422340,1431538,1440726,1445237,1439725,1432132
"36005","Bronx, NY","3","Per capita personal income (dollars) 2/",20121,21664,22020,22745,24111,24546,26288,28263,28284,28825,29899,30546,30532,30818,31820,33104,33721,36321,37376
"36007","Broome, NY","2","Population (persons) 1/",200351,200868,201438,201037,200974,200477,200905,200877,201029,200935,200478,199346,198658,197911,197251,195794,194345,192959,191659
"36007","Broome, NY","3","Per capita personal income (dollars) 2/",26308,26584,27071,27213,28207,28541,30238,32184,34042,34588,35559,36654,37788,37797,38276,39886,40613,42970,44540
